City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Sal Rei,CV,2022-09-17 19:41:01,16.1833,-22.9167,82.6,74,40,16.11
205,Gorontalo,ID,2022-09-17 19:41:01,0.5412,123.0595,73.69,92,100,2.59
206,Srandakan,ID,2022-09-17 19:41:02,-7.9386,110.2506,76.6,82,86,8.34
207,Naze,JP,2022-09-17 19:41:02,28.3667,129.4833,77.92,91,100,36.82
208,Nome,US,2022-09-17 19:41:02,64.5011,-165.4064,46.17,95,100,37.83
209,Mahibadhoo,MV,2022-09-17 19:41:03,3.7833,72.9667,81.28,71,11,5.68
210,Pevek,RU,2022-09-17 19:41:03,69.7008,170.3133,33.6,98,100,19.84
211,Vestmannaeyjar,IS,2022-09-17 19:41:03,63.4427,-20.2734,49.68,79,86,16.62
212,Juybar,IR,2022-09-17 19:41:04,36.6412,52.9124,75.29,68,0,4.12
213,Haines Junction,CA,2022-09-17 19:41:04,60.7522,-137.5108,48.15,61,92,1.14
214,Penzance,GB,2022-09-17 19:41:04,50.1186,-5.5371,54.28,69,100,10.49
215,Biga,TR,2022-09-17 19:41:05,40.2281,27.2422,80.06,42,0,3.27
216,Georgetown,MY,2022-09-17 19:41:05,5.4112,100.3354,80.55,88,20,10.36
217,Churapcha,RU,2022-09-17 19:41:05,62.0025,132.4325,40.41,87,100,4.52
218,Madras,IN,2022-09-17 19:41:03,13.0878,80.2785,85.98,89,75,11.5
219,Abu Samrah,SY,2022-09-17 19:41:06,35.3029,37.1841,79.61,39,0,7.4
220,Halifax,CA,2022-09-17 19:39:57,44.6453,-63.5724,68.22,44,4,14.97
221,Tongchuan,CN,2022-09-17 19:41:06,35.0806,109.0897,67.01,70,98,2.35
222,Siderno,IT,2022-09-17 19:41:06,38.2779,16.302,72.34,75,5,16.08
223,Pacific Grove,US,2022-09-17 19:41:07,36.6177,-121.9166,72.21,77,100,9.22
224,Tucuma,BR,2022-09-17 19:42:07,-0.1833,-50.05,84.38,67,45,12.01
225,Ixtapa,MX,2022-09-17 19:42:07,20.7,-105.2,87.22,74,40,8.05
226,Semey,KZ,2022-09-17 19:42:08,50.4111,80.2275,46.78,51,0,8.41
227,Byron Bay,AU,2022-09-17 19:42:08,-28.65,153.6167,58.71,62,56,7.07
228,Buala,SB,2022-09-17 19:42:09,-8.145,159.5921,79.88,82,41,2.37
229,Baijiantan,CN,2022-09-17 19:42:09,45.6333,85.1833,60.71,33,1,4.41
230,Hondo,JP,2022-09-17 19:42:09,32.45,130.2,83.19,72,100,24.58
231,Kumo,NG,2022-09-17 19:42:09,10.0447,11.2122,70.12,92,93,4.88
232,Palmas,BR,2022-09-17 19:42:10,-10.2128,-48.3603,96.67,41,40,9.22
233,Kruisfontein,ZA,2022-09-17 19:42:10,-34.0033,24.7314,58.89,85,100,9.08
234,Toamasina,MG,2022-09-17 19:42:10,-18.1667,49.3833,69.8,88,40,4.61
235,Marzuq,YE,2022-09-17 19:40:00,14.4,46.4667,82.18,41,27,3.76
236,Beroroha,MG,2022-09-17 19:42:11,-21.6667,45.1667,71.98,55,6,5.37
237,Todos Santos,MX,2022-09-17 19:42:11,23.45,-110.2167,79.66,89,53,7.25
238,Dukat,RU,2022-09-17 19:42:11,62.55,155.55,25.39,88,7,3.51
239,Tierranueva,MX,2022-09-17 19:42:12,21.6833,-100.5667,70.43,62,91,11.99
240,Rognan,NO,2022-09-17 19:42:12,67.0953,15.3878,53.74,87,76,2.08
241,Bocas Del Toro,PA,2022-09-17 19:42:12,9.3333,-82.25,83.39,71,100,7.36
242,Khani,GE,2022-09-17 19:42:13,41.9563,42.9566,62.17,49,0,7.47
243,Vanavara,RU,2022-09-17 19:42:13,60.34,102.2797,30.51,88,24,1.12
244,Tagusao,PH,2022-09-17 19:42:13,9.1924,117.8141,79.27,81,100,4.38
245,Moron,AR,2022-09-17 19:42:13,-34.6534,-58.6198,78.03,52,100,10.78
246,North Bend,US,2022-09-17 19:42:14,43.4065,-124.2243,66.24,91,0,6.91
247,Osakarovka,KZ,2022-09-17 19:42:14,50.565,72.5692,45.77,47,0,7.85
248,Bima,ID,2022-09-17 19:42:14,-8.4667,118.7167,72.93,86,100,2.8
249,Tarko-Sale,RU,2022-09-17 19:42:15,64.9225,77.785,48.96,70,100,12.8
250,Faanui,PF,2022-09-17 19:42:15,-16.4833,-151.75,78.1,67,8,19.57
251,Kulevcha,UA,2022-09-17 19:42:15,46.0303,29.9361,68.23,85,99,7.09
252,Hospet,IN,2022-09-17 19:42:15,15.2667,76.4,71.76,88,79,11.05
253,Chapais,CA,2022-09-17 19:42:16,49.7834,-74.8492,60.58,36,100,8.32
254,Mayumba,GA,2022-09-17 19:42:16,-3.432,10.6554,74.5,85,100,6.69
255,Antsohihy,MG,2022-09-17 19:42:16,-14.8796,47.9875,72.79,61,0,8.1
256,Olafsvik,IS,2022-09-17 19:41:29,64.8945,-23.7142,48.11,78,67,8.01
257,Baturaja,ID,2022-09-17 19:42:17,-4.1333,104.1667,72.55,96,85,2.64
258,Yerbogachen,RU,2022-09-17 19:42:17,61.2767,108.0108,28.51,78,2,4.34
259,Samarai,PG,2022-09-17 19:42:17,-10.6167,150.6667,81.55,81,85,12.15
260,Roswell,US,2022-09-17 19:41:44,34.0232,-84.3616,85.57,51,20,10.36
261,Pombas,CV,2022-09-17 19:42:18,17.1503,-25.0201,80.38,75,62,12.12
262,Holland,US,2022-09-17 19:42:18,42.7875,-86.1089,84.45,58,0,16.11
263,Lagdo,CM,2022-09-17 19:42:18,9.05,13.7333,69.33,96,82,1.43
264,Nichinan,JP,2022-09-17 19:42:19,31.6,131.3667,79.52,92,100,33.98
265,Kunnamangalam,IN,2022-09-17 19:42:19,11.3046,75.8777,75.83,94,17,3.04
266,Matagami,CA,2022-09-17 19:42:19,49.7502,-77.6328,59.11,55,100,8.05
267,Biryusinsk,RU,2022-09-17 19:43:20,55.9634,97.8235,44.1,73,99,1.07
268,Srednekolymsk,RU,2022-09-17 19:43:20,67.45,153.6833,36.09,68,100,3.2
269,Bafata,GW,2022-09-17 19:43:21,12.1667,-14.75,77.16,92,74,6.2
270,Yar-Sale,RU,2022-09-17 19:43:21,66.8333,70.8333,49.01,70,100,9.78
271,Pocoes,BR,2022-09-17 19:43:21,-14.5297,-40.3653,77.4,46,20,10.27
272,Darab,IR,2022-09-17 19:41:05,28.7519,54.5444,82.74,22,0,4.83
273,Kahului,US,2022-09-17 19:39:38,20.8947,-156.47,85.96,61,20,11.01
274,Fare,PF,2022-09-17 19:43:22,-16.7,-151.0167,78.17,68,0,19.86
275,Novyy Urengoy,RU,2022-09-17 19:43:22,66.0833,76.6333,48.47,69,100,11.74
